k[h/Mpc] dP/dk(z=0.00) dP/dk(z=0.08) dP/dk(z=0.17) dP/dk(z=0.29) dP/dk(z=0.42) dP/dk(z=0.59) dP/dk(z=0.80) dP/dk(z=1.08) dP/dk(z=1.45) dP/dk(z=2.00) 
0.0001786 4189764.22462 3855356.85146 3496714.62991 3115244.62731 2709400.57254 2293645.00756 1874717.74182 1467419.0186 1082736.09096 742716.17683 
0.00018221 4176741.02905 3847112.41736 3489059.81661 3105786.65579 2702683.6087 2287006.48017 1870931.93783 1463475.64736 1080372.04069 740084.2021 
0.00018589 4173269.44403 3842479.16992 3485275.52173 3103590.54732 2702004.48695 2286659.66088 1868000.93023 1460703.8048 1081290.04788 741248.564746 
0.00018965 4170854.52287 3839995.02538 3481547.4771 3101085.40584 2699218.36103 2284291.42474 1866862.12439 1459919.28909 1078429.75428 738614.518054 
0.00019348 4170841.2403 3840693.96739 3481691.07542 3100694.50408 2698705.11243 2283655.66397 1866124.28285 1458524.11014 1079362.14886 739081.345112 
0.00019739 4161565.64486 3828714.52286 3475643.81234 3093242.552 2692188.48121 2278907.19097 1862542.80414 1458009.77497 1076914.99193 739160.188603 
0.00020138 4162917.57545 3834513.086 3479124.6211 3096180.50543 2694764.72696 2279343.36258 1863564.84486 1458754.80584 1076488.79123 739714.104449 
0.00020544 4162932.21936 3834111.98242 3477222.46949 3095667.45125 2694959.02499 2280617.59463 1863203.78956 1457302.46431 1079071.01339 736767.743543 
0.00020959 4150446.43193 3821084.65263 3462672.95727 3084364.54408 2684145.04286 2271915.68282 1858019.27448 1452707.34427 1075046.05604 734860.534922 
0.00021383 4143972.11726 3816326.35391 3461594.56576 3082052.41214 2680833.53858 2269797.87434 1853870.3389 1449625.25578 1071456.57685 736120.356876 
0.00021815 4149849.7892 3820214.88323 3466383.14874 3085051.69681 2685924.35166 2274848.44053 1857445.33738 1454363.15283 1073771.08252 736546.954324 
0.00022255 4144014.43528 3815467.24526 3459642.5315 3079973.60557 2683095.68365 2268433.69449 1856005.09418 1450647.66515 1073667.9641 735099.754695 
0.00022705 4137701.288 3806178.58111 3452741.59373 3074158.58891 2674275.68321 2263078.88732 1849318.0102 1446863.86569 1069978.87144 732198.218838 
0.00023164 4130156.77836 3804762.59574 3449029.75568 3072248.44533 2672776.48565 2263408.60005 1849049.65058 1448214.59292 1068894.36282 732195.87748 
0.00023632 4125500.78137 3803379.01903 3450276.36835 3070678.24966 2673452.65691 2262616.62189 1848406.20777 1446487.60421 1068749.32158 733804.62109 
0.00024109 4129392.00815 3800758.45786 3448153.93943 3070373.75548 2671502.90681 2260746.50546 1849348.08084 1445173.40973 1068759.40272 732540.541379 
0.00024596 4128916.97481 3792617.86984 3440022.37139 3064999.16648 2667667.70541 2256784.63491 1845520.53802 1443095.33412 1067072.47261 730359.286292 
0.00025093 4111007.00749 3797268.62379 3438296.64542 3060097.55799 2664055.9904 2254933.54473 1841969.84175 1440992.76091 1065439.12374 730182.734093 
0.000256 4109461.88004 3781013.85464 3436281.39388 3059286.93279 2662306.37244 2253393.34441 1842396.62636 1440486.14383 1065657.51492 729414.264546 
0.00026117 4118167.04333 3779071.19607 3430048.06421 3054327.92845 2659400.39033 2249190.1456 1839246.14145 1439558.604 1064459.81163 729136.873592 
0.00026645 4107480.56787 3781110.19357 3427496.79335 3051022.28751 2656281.83134 2248571.14545 1836230.3735 1436869.48778 1061353.0727 729157.702708 
0.00027183 4104808.35946 3780250.19212 3426565.54604 3051069.71619 2655457.61327 2248017.20155 1836483.18022 1435857.26113 1061649.09402 727606.825329 
0.00027732 4091917.31218 3783263.92617 3422031.79474 3048434.42837 2652062.46232 2244330.15191 1835329.2894 1436158.63093 1061844.75911 726647.185978 
