k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.08) d^2P/dk^2(z=0.17) d^2P/dk^2(z=0.29) d^2P/dk^2(z=0.42) d^2P/dk^2(z=0.59) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.08) d^2P/dk^2(z=1.45) d^2P/dk^2(z=2.00) 
0.00035254 1393515642.74 1262556205.58 7030176354.75 334151517.842 -667878571.945 235446439.479 -167995840.385 543094279.731 -443938685.259 -144534178.294 
0.00035966 1051520524.27 -1742383401.57 -4323652019.95 -2628387888.3 -14891180.887 -976661152.343 -521594333.531 -1180407752.13 -50506666.5393 -591853944.992 
0.00036693 -6292775278.35 -955711340.765 -1998127043.71 4306036387.67 -2974842285.53 -23437697.4662 -218049895.781 443574724.572 -154515858.184 480360125.56 
0.00037434 5744527218.87 3316738384.71 4312921602.88 -5719782933.89 5715621801.23 16958812.3311 -49214521.751 -355933766.595 -32643084.2979 -244913213.682 
0.0003819 -6424223497.54 -7650860099.14 -5049052002.55 2535760049.23 -8244283793.6 -1238499499.49 -730428473.598 -278975794.4 -420558118.388 -287184518.851 
0.00038962 5156824697.63 7436205726.96 1701008101.33 -2252762821.72 4985874145.95 534173991.239 52582750.1445 -139774543.875 -13090787.1829 -82833053.1108 
0.00039749 -4667534606.22 -7789304660.34 -2100079650.21 1707043397.76 -874759932.15 -931555397.529 -468076687.841 -276820721.427 -137911301.018 -73996182.9181 
0.00040552 -13239018.6503 5539785307.1 3232527654.55 -2483161556.88 -2983048893.81 157674111.809 138554565.413 -186759374.098 -46383013.2681 -2950580.77011 
0.00041371 908176478.6 -4447050342.84 -5019024664.03 1166287979.47 2257827025.88 -756069687.185 -762701533.891 -326707565.502 -251408456.814 -271114223.248 
0.00042207 -1937086390.77 1110943154.9 2040503988.56 -2740612117.05 -870305720.863 -29931994.3508 -149515003.244 -129376989.008 -387882698.024 130821736.913 
0.0004306 83496676.655 -2211118294.46 -468851795.576 941193513.663 -2169327998.02 -1015583449.74 134237875.681 146022798.607 438023871.134 -317462950.875 
0.00043929 -1577814824.27 602806317.303 -2892589316.57 981297467.182 351378615.65 50916052.9358 -895684464.192 -781454824.531 -1007791362.05 43670016.3308 
0.00044817 1696472210.14 -28989265.8411 1704660292.32 -2072382098.01 1511717828.19 1174129666.95 370334823.087 203599957.83 760971259.012 -218509942.902 
0.00045722 -3540525886.83 -2242062794.97 -1334171537.09 -472965326.658 -1822238862.18 -2606929205.53 -840184279.683 -581159231.022 -953967250.604 59878393.3248 
0.00046646 1258283241.2 2086497206.85 1368035635.7 -500751536.417 -680762869.834 1040240865.37 218427724.917 333162252.37 480409072.869 -329763965.02 
0.00047588 -2522022460.79 -3257013863.37 -3979463641.51 296378886.575 181618014.522 -993309386.491 -748128036.008 -798159556.021 -647020752.014 84197199.3353 
0.0004855 2653149606.38 2260071011.17 3744821307.33 -49655390.5148 -947043784.517 628310505.721 423965029.128 333467986.217 408660071.506 -73699289.7321 
0.0004953 -2597317042.89 -3058492822.6 -4376231566.45 -2055378734.49 -308413401.934 -956597199.661 -919922279.728 -536823782.82 -663679311.835 -219176471.046 
0.00050531 -315480444.819 -115558345.237 1892871368.26 1041038925.44 -119003601.154 -207830314.026 60925107.4434 -96481071.7287 83928775.3353 -129626104.899 
0.00051552 -1453722686.33 1886545024.44 -866582396.442 -1383757564.49 112477453.432 -170952615.886 -147857281.888 -77092550.4517 42253107.3565 126287112.737 
0.00052593 1117429720.17 -3304093457.23 -1753076193.7 -392589400.919 -952493307.961 -940983642.256 -790121784.136 -529433507.695 -509999858.718 -387259525.364 
0.00053656 -1219668116.76 561341169.017 1157414135.44 542478803.832 360212855.083 -116789410.493 1220547890.35 360040468.165 115227117.839 120375700.563 
0.00054739 -782006075.775 -227965566.685 -647693245.898 -1004181628.03 -997945004.829 -192014473.788 -2147692240.8 -693537394.399 -158191542.908 -86361610.4786 
0.00055845 -846202899.67 -1241532343.83 -1318678066.38 -147817836.894 -628104252.106 1128062425.28 622222339.553 73395778.0782 -195902206.272 -304111686.005 
0.00056973 1134027762.28 630316163.84 102455909.143 -433796856.594 686521413.24 -3026475110.96 306310204.283 -202498884.497 -199637052.233 178163561.92 
0.00058124 -3717706573.91 -2632424193.16 -1486299072.52 -1345314303.14 -1340235115.31 2026229468.43 -1991420070.36 -449649689.567 -89462465.6164 -410309698.734 
0.00059299 3160662206.37 2619515827.56 2132991485.71 1469565463.9 -97290077.8579 -1274211458.39 2317140586.96 273098480.688 -29818986.5397 275702693.759 
0.00060496 -2911126887.07 -3196741164.42 -3523343087.36 -1926957179.25 -647421167.994 53090179.6895 -2363849668.13 -685874859.546 -330368370.24 -379848843.497 
0.00061719 -259125137.163 613291190.559 1855850465.9 -65820564.7246 412055284.828 -1211655740.63 823563378.326 209093372.261 11200491.3761 9869400.22955 
0.00062965 206070553.975 -209194325.943 -1833094139.69 -388409882.78 -194895444.207 1239007559.23 -965753965.68 -297956436.487 -186536132.877 -17985370.4226 
0.00064237 -931075536.738 -909430244.209 58591475.1996 -296565613.176 -1679629275.35 -1974449149.17 1058480318.95 -305526335.707 -91497052.8644 -296793336.527 
0.00065535 -423351561.904 -824446817.83 63706682.9761 -231210729.54 1354766787.5 1122654003.78 -1526079009.08 -58710898.2907 -225360866.055 143572999.967 
0.00066859 -1091600395.42 -204523643.463 -1723166489.27 -475865084.166 -2042118016.52 -828478849.868 -219734219.888 -253217045.172 -85668818.9201 -239188758.45 
0.0006821 360145.27896 -370882625.748 1080568757.25 -419006533.411 939327966.115 -220344242.508 163435516.698 -124785447.596 -117464972.905 -40909872.4916 
0.00069588 -233939210.8 -203884771.073 -1622254136.9 -257113645.071 -881097814.501 -576654169.638 653305497.734 -57838030.8901 -89017936.5124 -85726893.2251 
0.00070993 -302170859.294 -595319377.403 201078803.737 -818096438.451 319420940.355 367636982.339 -1724955772.45 -403279048.979 -134081551.446 -75081984.5427 
0.00072427 -1978063754.1 -1174893861.19 -108029012.156 -294638263.0 -1055649934.3 -1210499874.0 308708264.756 155332164.678 -239146590.736 -154300083.112 
